,lema_verbo_web,classe_verbo_web,aspecto_lexical,papel_tematico,estrutura_sintatica,exemplo_verbo_web
34,Acinzentar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A poluição acinzentou a cidade./ O grafiteiro acinzentou a cidade com a intenção de chamar atenção para a sua arte.
35,Açoitar,Atividade: verbos de contato com instrumento incorporado,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O capataz açoitou o escravo.
36,Acolher,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A senhora acolheu o forasteiro em sua casa.
37,Acomodar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),A mãe acomodou o menino (na poltrona).
38,Aconchegar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A gata aconchegou o filhote.
39,Acondicionar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O açougueiro acondicionou a carne (no saco plástico).
40,Acoplar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O solavanco acoplou as partes do foguete./ O astronauta acoplou as partes do foguete intencionalmente.
41,Acorrentar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O engenheiro de segurança acorrentou os portões da casa.
42,Acotovelar/cotovelar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O menino acotovelou o colega.
43,Acovardar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A pressão do povo acovardou o congresso.
44,Acuar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O bombardeio acuou a tropa./ Os soldados acuaram a tropa inimiga com a intenção de preparar uma armadilha.
45,Acuar 2,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As críticas dos eleitores acuaram o deputado.
46,Açucarar 1,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),A calda do doce açucarou.
47,Açucarar 2,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O menino açucarou o café.
48,Acumular,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A chuva forte acumulou os entulhos das obras./ O pedreiro acumulou os entulhos das obras com a intenção de reutilizá-los.
49,Adensar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A construção de edifícios adensou o solo da região./ O construtor adensou o solo da região intencionalmente.
50,Adentrar,Culminação: verbos de mudança de lugar,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Tema, Locativo}",- Estrutura sintática básica: [SN V SP] (verbo transitivo indireto),O carro adentrou na avenida.
51,Adereçar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A decoradora adereçou a mesa de jantar.
52,Adivinhar,Culminação: verbos de mudança de estado mental,- Aspecto lexical básico: achievement,"- Estrutura de papéis temáticos: {Paciente/Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O marido adivinhou a gravidez da esposa.
53,Admirar,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),Os alunos admiram a competência do professor.
54,Adoçar 1,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A cozinheira adoçou o suco.
55,Adoçar 2,Causação: verbos de mudança de estado não-agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O carinho da mulher adoçou o marido ranzinza.
56,Adoecer,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O menino adoeceu.
57,Adorar,Estado: verbos psicológicos,- Aspecto lexical básico: estado,"- Estrutura de papéis temáticos: {Experienciador, Objeto Estativo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O marido adora o jeito carinhoso da esposa.
58,Adormecer,Culminação: verbos de mudança de estado,- Aspecto lexical básico: achievement,- Estrutura de papéis temáticos: {Paciente},- Estrutura sintática básica: [SN V] (verbo intransitivo),O vulcão adormeceu.
59,Adornar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A decoradora adornou a sala.
60,Adubar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O jardineiro adubou o terreno.
61,Adulterar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A incorporação de novas ideias adulterou o projeto./ O pesquisador adulterou o projeto com a intenção de deixá-lo melhor.
62,Afagar,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A mãe afagou o recém-nascido.
63,Afastar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O tremor de terra afastou os móveis./ O decorador afastou os móveis para deixá-los mais visíveis.
64,Afetar 1,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O calor afetou a composição das moléculas./ O cientista afetou a composição das moléculas intencionalmente.
65,Afetar 2,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O insulto do Antero afetou a Simone.
66,Afiar,Atividade: verbos de contato mediado por instrumento,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O açougueiro afiou a faca.
67,Afinar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A lipoaspiração afinou a cintura da atriz./ O cirurgião afinou a cintura da atriz com a intenção de deixá-la mais magra.
68,Afixar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),Os militantes afixavam cartazes do candidato (nos muros da cidade).
69,Afligir,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A fraqueza da filha afligiu a Dona Ana.
70,Afofar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A chuva que caiu afofou a terra./ A fazendeira afofou a terra intencionalmente.
71,Afrancesar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A vivência em Paris afrancesou a moça./ A mãe afrancesou a filha com a intenção de torná-la mais elegante.
72,Africanizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),Os rituais de candomblé africanizaram o catolicismo./ Os negros africanizaram o catolicismo com a intenção de deixá-lo mais próximo da sua cultura.
73,Afrouxar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O exercício constante afrouxou a faixa elástica./ O fisioterapeuta afrouxou a faixa elástica intencionalmente.
74,Afundar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A tempestade afundou o navio./ O comandante afundou o navio intencionalmente.
75,Agasalhar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A mãe agasalhou o menino.
76,Agastar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A observação maldosa da senhora agastou a pobre moça.
77,Agitar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As promessas do Basílio agitavam a prima.
78,Agitar 2,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A entrada da cantora funk no palco agitou o público./ A cantora funk agitou o público com a intenção de ganhar mais aplausos.
79,Aglutinar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A agitação das moléculas aglutinou as substâncias./ O químico aglutinou as substâncias intencionalmente.
80,Agoniar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),Os atentados terroristas agoniaram a população.
81,Agravar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As altas dos preços agravaram a crise econômica./ Os investidores agravaram a crise econômica com a intenção de aplicarem um golpe.
82,Agredir,Atividade: verbos de contato mediado pelo corpo,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),O congressista agrediu o colega na sessão do plenário.
83,Agrilhoar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O capitão do mato agrilhoou os escravos.
84,Agrupar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A propagação do calor agrupou as partículas radioativas./ O químico agrupou as partículas radioativas intencionalmente.
85,Aguçar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O treino aguçou o ouvido do músico./ O professor aguçou o ouvido do músico com a intenção de torná-lo mais competente.
86,Ajoelhar,Causação: verbos mudança de estado locativo,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente, (Locativo)}",- Estrutura sintática básica: [SN V SN (SP)] (verbo bitransitivo),O jóquei ajoelhou o cavalo (em frente aos jurados).
87,Ajuntar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O terremoto ajuntou as mesas./ A dona de casa ajuntou as mesas com a intenção de ganhar mais espaço.
88,Alagar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O temporal alagou a cidade./ A empreiteira alagou a cidade intencionalmente.
89,Alargar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A erosão alargou o buraco./ O pedreiro alargou o buraco intencionalmente.
90,Alarmar,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A chegada do inimigo alarmou os soldados.
91,Alcoolizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O excesso de bebida alcoolizou a jovem./ O rapaz mal intencionado alcoolizou a jovem intencionalmente.
92,Alegrar 1,Causação: verbos de estado psicológico complexo,- Aspecto lexical básico: estado complexo,"- Estrutura de papéis temáticos: {Estímulo, Experienciador}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),Os comentários do professor alegravam o estudante.
93,Alegrar 2,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),As marchinhas de carnaval do trio alegraram a festa./ O trio alegrou a festa com a intenção de ganhar um cachê melhor.
94,Aleijar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O acidente aleijou o rapaz./ O vilão aleijou o rapaz intencionalmente.
95,Alfabetizar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O método de Paulo Freire alfabetizou todos os adultos da escola noturna./ A professora alfabetizou todos os adultos da escola noturna com a intenção de ter seu trabalho reconhecido.
96,Alfinetar 1,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),A costureira alfinetou o molde do vestido.
97,Alfinetar 2,Atividade: verbos de contato com instrumento incorporado,- Aspecto lexical básico: atividade,"- Estrutura de papéis temáticos: {Agente, Objeto Afetado}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O Marcos alfinetou a Joana.
98,Alforriar,Causação: verbos de transferência do tipo locatum,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Alvo}",- Estrutura sintática básica: [SN V SN ou SP] (verbo transitivo),A princesa alforriou o escravo.
99,Algemar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O guarda algemou o criminoso.
100,Aliar,Causação: verbos de mudança de estado opcionalmente agentivos,- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Causa ou Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O medo da guerra aliou as províncias./ O governo aliou as províncias com a intenção de ficar mais forte.
101,Alicerçar,Causação: verbos de mudança de posse (ou verbos de locatum),- Aspecto lexical básico: accomplishment,"- Estrutura de papéis temáticos: {Agente, Paciente}",- Estrutura sintática básica: [SN V SN] (verbo transitivo),O pedreiro alicerçou a casa.
